treat,size,spend,budget
FALSE,small,13.8977,7.3535
FALSE,medium,7.227600000000001,5.437200000000001
FALSE,medium,49.638000000000005,58.902300000000004
FALSE,small,10.077100000000002,9.9636
FALSE,small,95.79050000000001,86.5518
FALSE,small,184.0759,331.5911
FALSE,large,414.51009999999997,407.8152
FALSE,small,9.930800000000001,8.7893
FALSE,small,24.1399,15.6908
FALSE,medium,32.0398,34.617200000000004
FALSE,small,44.4153,34.1045
FALSE,large,48004.876299999996,43444.017
FALSE,large,109.2838,91.9789
FALSE,large,15.567599999999999,15.0747
FALSE,small,18.0171,13.377199999999998
FALSE,small,12003.6494,11238.8894
FALSE,small,30.5303,24.5718
FALSE,large,18003.572,14078.350600000002
FALSE,small,5555.3357,5484.8078
FALSE,medium,41508.493599999994,27923.827100000002
FALSE,large,54.168000000000006,67.4214
FALSE,small,646902.6962,1293488.4645
FALSE,small,60003.7717,54814.7285
FALSE,small,14.1156,5.5831
FALSE,large,224.3381,443.1103
FALSE,large,20954.8813,11718.387900000002
FALSE,small,17.1835,12.9668
FALSE,medium,120.4213,201.1537
FALSE,large,1251.678,1225.4434
FALSE,small,24.9314,23.107599999999998
FALSE,large,9.6435,4.854
FALSE,large,15.448799999999999,13.808800000000002
FALSE,large,104.43900000000001,103.89580000000001
FALSE,small,41.616,33.2357
FALSE,small,9.3057,6.6418
FALSE,small,15.208300000000001,10.6664
FALSE,small,26.209799999999998,22.1189
FALSE,large,91.4384,176.81629999999998
FALSE,small,36.7894,29.8717
FALSE,small,26.7621,25.5706
FALSE,small,24.1571,22.9671
FALSE,large,12003.986200000001,6692.955199999999
FALSE,small,184.1974,290.93399999999997
FALSE,small,4804.0583,4743.3516
FALSE,large,103.0377,102.037
FALSE,small,13.7,10.475200000000001
FALSE,large,23.625799999999998,16.6725
FALSE,medium,39.7909,36.251200000000004
FALSE,small,31.1827,26.9694
FALSE,small,110.5279,109.5021
FALSE,large,49.2197,56.1377
FALSE,small,27.8208,34.6606
FALSE,large,208.80499999999998,168.99949999999998
FALSE,small,20.447699999999998,14.1588
FALSE,large,7.3202,6.4665
FALSE,small,11.6708,11.0262
FALSE,large,41.805800000000005,37.105000000000004
FALSE,large,20963.472,9342.928
FALSE,small,7.787,7.5478000000000005
FALSE,small,55.8487,47.459
FALSE,medium,41.373400000000004,40.7597
FALSE,small,23.3216,26.1055
FALSE,small,45.487,45.0561
FALSE,medium,304.3699,291.1873
FALSE,small,103.6814,92.5671
FALSE,small,9.856100000000001,9.3697
FALSE,small,11.373899999999999,9.969000000000001
FALSE,small,63.741400000000006,53.806400000000004
FALSE,large,221.71509999999998,213.378
FALSE,small,7.8341,7.6505
FALSE,large,101.2133,82.5871
FALSE,large,621.2481,617.5758000000001
FALSE,large,40.4701,39.7471
FALSE,large,90.7218,88.6585
FALSE,large,55.8708,76.08500000000001
FALSE,medium,18004.0044,15909.895
FALSE,large,52.329,44.809900000000006
FALSE,small,104.07820000000001,80.9758
FALSE,small,11.0217,8.7482
FALSE,large,373.6066,362.3603
FALSE,small,11.499400000000001,5.9015
FALSE,small,102.0466,115.4855
FALSE,large,9.1393,8.632200000000001
FALSE,large,72.6503,56.9508
FALSE,small,15.000800000000002,14.6829
FALSE,small,9213.955300000001,4673.5634
FALSE,small,7.4423,7.0838
FALSE,small,25.391199999999998,21.2573
FALSE,small,748.1103,741.2581
FALSE,large,49.064400000000006,89.5443
FALSE,small,724.2505000000001,642.3391
FALSE,small,381.7041,381.66839999999996
FALSE,large,586.5963,573.9494000000001
FALSE,large,83.0087,82.4133
FALSE,small,44.182,25.0996
FALSE,large,80.66250000000001,103.8751
FALSE,small,26.3151,25.1718
FALSE,small,16.9441,13.3005
FALSE,small,8.6694,4.4939
FALSE,small,27.6383,27.6329
FALSE,large,241.66539999999998,352.5598
FALSE,small,9.3614,8.4433
FALSE,small,25.6947,24.8933
FALSE,small,12.878599999999999,6.8995
FALSE,large,20.1218,16.1101
FALSE,large,40.1884,38.4206
FALSE,large,1026.8777,1668.7368000000001
FALSE,large,37.624100000000006,33.1038
FALSE,small,14.482,12.195900000000002
FALSE,large,102.8977,88.4311
FALSE,small,24.7532,38.516600000000004
FALSE,large,374.3075,356.5107
FALSE,small,10.5476,7.3420000000000005
FALSE,small,38.751400000000004,52.0255
FALSE,medium,42.817600000000006,42.59
FALSE,medium,103.9805,95.7882
FALSE,small,894.3855000000001,778.9279
FALSE,small,1233.8666,641.4289
FALSE,large,403.8315,403.5515
FALSE,large,20.8675,17.0078
FALSE,large,15.2562,12.192800000000002
FALSE,small,12005.2638,13571.055400000001
FALSE,small,1298.1368,520.4162
FALSE,large,413.11789999999996,398.6038
FALSE,small,31.9312,27.8754
FALSE,small,15.0537,14.7366
FALSE,small,2789.4046,2737.7691
FALSE,small,32.8577,25.3126
FALSE,small,94.8712,94.5331
FALSE,small,410.92359999999996,660.534
FALSE,large,359.3859,351.8164
FALSE,small,60.625800000000005,57.357
FALSE,small,364.5669,113.2727
FALSE,medium,229.522,297.6142
FALSE,large,153820.0234,180231.864
FALSE,small,7.9806,5.4364
FALSE,small,15.347100000000001,13.2869
FALSE,large,125.5843,112.8251
FALSE,small,16.3816,10.5128
FALSE,small,7.2369,4.6655
FALSE,small,51.7931,86.8773
FALSE,medium,1004.4174,964.2088
FALSE,large,37.953,36.903400000000005
FALSE,medium,83.9321,102.3066
FALSE,small,48005.3157,59364.5455
FALSE,large,4356.4649,4339.9030999999995
FALSE,large,18946.3322,8184.0884
FALSE,large,74.2094,62.75
FALSE,large,90611.291,155418.87230000002
FALSE,large,90.9391,45.011100000000006
FALSE,small,34.0832,27.5487
FALSE,small,33.7701,19.8046
FALSE,small,32.5178,31.4485
FALSE,large,18.02,14.735199999999999
FALSE,large,20.9883,14.976400000000002
FALSE,large,120006.35609999999,102512.2075
FALSE,large,5.8169,5.0551
FALSE,small,11032.939,10882.066900000002
FALSE,small,4805.9325,3687.0427
FALSE,small,9084.293000000001,8916.4385
FALSE,small,19205.4517,32760.1159
FALSE,large,392.3193,376.0303
FALSE,small,48003.6467,34994.443799999994
FALSE,large,16.5959,8.3574
FALSE,small,1568.6379,1363.6131
FALSE,small,102.8108,196.4706
FALSE,small,63.5955,62.6013
FALSE,large,1004.3428,1001.0818
FALSE,large,104.6636,104.34530000000001
FALSE,small,327.6612,365.9164
FALSE,small,8.1187,7.3535
FALSE,small,94.77040000000001,116.7867
FALSE,small,13.923200000000001,10.7244
FALSE,small,19.0054,11.4923
FALSE,large,257.1231,242.99609999999998
FALSE,large,582.7564000000001,996.7442000000001
FALSE,small,14.337399999999999,9.6997
FALSE,large,145.2542,131.1275
FALSE,small,25.064899999999998,22.1509
